Unnamed: 0,Player,Year,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (Max Reach),Vertical (No Step),Vertical (No Step Reach),Weight,Body Fat,Bench,Agility,Sprint,Position
253,Ben McLemore,2013,1,75.5,76.75,79.75,100.5,42,142.5,32.5,133,189,5,6,11.87,3.27,2
254,Kentavious Caldwell-Pope,2013,1,76.5,77.5,80,100.5,34.5,135,29,129.5,204,6.5,7,10.6,3.12,2
255,Trey Burke,2013,1,71.75,73.25,77.5,97.5,36.5,134,29.5,127,187,6.9,3,11.2,3.16,1
256,Adonis Thomas,2013,0,76.75,77.75,85,99,40.5,139.5,34.5,133.5,232,7.5,13,11.66,3.32,3
258,Brandon Davies,2013,0,80.5,82.25,85.5,108.5,31.5,140,26,134.5,242,8.6,7,11.22,3.5,4
259,Brandon Paul,2013,0,74.75,76,82.25,98,39.5,137.5,33.5,131.5,201,5.3,15,11.16,3.37,2
261,DeWayne Dedmon,2013,0,82,83.5,88,109,32.5,141.5,28,137,239,8.4,8,12.75,3.4,5
262,Jackie Carmichael,2013,0,79.5,81,85.5,107,32,139,30,137,241,5.8,13,11.83,3.35,4
263,James Southerland,2013,0,79,80,85,106,32,138,29,135,221,8.1,5,10.9,3.38,3
264,Kenny Kadji,2013,0,80.75,82,87,106.5,38,144.5,34,140.5,242,7.5,9,11.47,3.44,4
265,Myck Kabongo,2013,0,73.25,74.75,78.25,98,33.5,131.5,27.5,125.5,180,6,2,10.64,3.34,1
267,Phil Pressey,2013,0,69.5,71.5,74.25,92,38.5,130.5,33,125,177,4.7,7,10.86,3.13,1
269,Robert Covington,2013,0,78.25,79.5,85.75,106,36,142,29.5,135.5,209,4.7,9,11.69,3.34,3
271,Trevor Mbakwe,2013,0,78.75,80,88,106.5,36.5,143,30,136.5,236,5.9,21,12.01,3.32,4
272,Vander Blue,2013,0,75.5,77.25,78,100.5,37.5,138,28,128.5,197,4.6,4,10.4,3.14,2
273,Will Clyburn,2013,0,77.75,79,84.25,105,34.5,139.5,28,133,210,6.9,3,11.68,3.38,3
336,Devin Booker,2015,1,76.5,77.75,80.25,102.5,34.5,137,27.5,130,206,8.3,8,10.22,3.28,2
338,Kelly Oubre,2015,1,77.75,78.75,86.25,102.5,37,139.5,34.5,137,203,5.7,7,11.1,3.32,3
